id;valor;detalle;fecha_registro
1;22003;../fake-data/blob/hipster.txt;2022-08-06
2;77039;../fake-data/blob/hipster.txt;2022-08-06
3;97310;../fake-data/blob/hipster.txt;2022-08-06
4;4437;../fake-data/blob/hipster.txt;2022-08-06
5;88008;../fake-data/blob/hipster.txt;2022-08-06
6;26100;../fake-data/blob/hipster.txt;2022-08-06
7;27250;../fake-data/blob/hipster.txt;2022-08-06
8;19771;../fake-data/blob/hipster.txt;2022-08-06
9;72761;../fake-data/blob/hipster.txt;2022-08-06
10;2661;../fake-data/blob/hipster.txt;2022-08-06
